     1   2   3   4   5  6   7   8   9  10  11  12  13  14  15
1    0   0   0   0   0  0   0   0   0   0   0   0   0   0   0
2    0   0   4   0   0 -4   0   0   0  -4   0   0   0   0   4
3    0   4  -8   0   8  0  -4   0   0  -8  -4   0   8  -4   8
4   -2   2   4   2   0  4   6   0   6  -2   0   2   0   0  10
5    2   2   0   2  -4  4  -6   0  -6   6   4  -6   4   0  -2
6   -2  -2  -4  -2  -4  0  -2  -4   2   2   0   2   0   4  10
7    2   2  -4  -2   0  4  -2  -4   6   6   0  -6  -4   0   2
8    0   2   2  -2   2  4   0  -2  -6  -4   0   0   0  10  -6
9    0  -2  -2  -2   2  8   4  -2   2   0  -4   0   8 -10  -2
10  -4   2   2   2   2 -4  -8   2   2   4   0   0   4  -6   2
11   4   2  10   2   2  4   0   2   2   4   0   0  -4   2   2
12  -2   4  -2   0   2  0   6  -2   0   2   0   2   0  -6  -4
13  -6   0  -2   0   6  4 -10   6  -4   6   0   2  -4  -2   4
14  -6   0   2   0  -2 -8   6  -2   4   2   0   2   4  -2   0
15  -2   0  -2   0   2  0  10   6   8   2   4   2   0  -2   4
16   0  -4   4   0   0  0   0   0   0   4   4   4 -12  -4 -12
17   0   0   0   0  -8  4   4   0   0   8   0  -4   4   8   0
18   0   0   4   0   8  0   4   0   0  -4   8  -4 -12   0  12
19   0  -8   4   0   8  8   4   0   0  -4   0   4  -4   8  -4
20  -2  -6  -4  -2   4 -4  -2  -4   2   2  -4   6  -4   0   2
21  10  -2  -4  -2   0  0  -2   4   6   6  -4  -2   0   4   2
22  -2  -6   0   2   0  4   2   8  -2   2   0   6   4   0  -2
23  10   2   4   2   4 -4  -2   0   2   2  -4  -2   0   0   2
24  -4   2  -2   2   2  4   4  -2  -2   4   4   0   4  -2   2
25   4  -6   6   2   2  4  -4  -2  -2   4  -4   8   4  -2   2
26   8  -2   2  -2   2  0   0   2   6   0   0   0   0   2  -2
27  -8  10   6  -2   2  4  -4   2  -2  -4  -4  -8   0  -2  -6
28   2   8  -2   0  -2  0   2   2   0  -6   4  10  -4   2   0
29  -2   0   2   0  -6  0  -2   2   4   2   0  10   0   2   4
30  -2   0   6   0   2  4  -2   2   4  -2   0   2   0   2   0
31   2  -4   6   0  -2 -8  -2 -14   0   2   0   2   4  -2   0
32   0   0   0   0   0  0   0   0   0   0   0   0   0   0   0
33   0   0   0   0   0  0   0   0   0   0   0   0   0   0   0
34   0   0   4   0  -8  4   0   0   0  -4 -16   0  -8  -8   4
35   0  -4   0   0   0  0   4   0   0   0   4   0   0  -4   0
36  -2  -2   0  -2  -4  4 -10   0   6  -6  -4   6   4   8   2
37  -6  -2   4  -2   0  4   2   0   2   2  -8  -2   0   8  -2
38   6  -6   0 -14   0  0  -2  -4  -6  -2   4  -2  -4  -4   2
39   2   6   0   2  -4 -4  -2  -4   6  -6   4   6   0   0  -6
40  -4   2  -2   2   2  0  -8   2   2   0   8   8  -4  -6  -2
41  -4  -2  -6   2   2  4  -4  -6   2  -4  -4   0  -4  -2  -6
42   8   2  -2   6  -6  0   0  -2   2   0   0   0   0  -6  -2
43   0  -6  -2   6  10  0   0 -10  10   0   0  -8   0   2  -2
44  -6   0   6   0  -2 -4  -2   2  -8   2   4  -2   0   2   8
45  -2  -4  -2   0  -6  0 -10   2   4  -2   4 -10  -4  -2   0
46  -2  -4   2   8   2  4  -2  -6  -4  -6   4  -2   4  -2   4
47  -6   4  -2  -8  -2  4   2  -6   0  10   0   6   0  -2   0
48   0  -4   4  -4  -4  4   4   0   0  -4  -4   0   0  -8   0
49   0   0   0   4  -4  0   0   0   0   0  -8   0  -8  -4   4
50   0   0   4   4   4  4   0   0   0   4   0   0   0  -4   0
51   0   0  -4  -4  -4 -4   0   0   0  -4   0   0   0   4   0
52 -10  -2  -8   6   4 -8   2   4   2   6  -8  -2  -4   4  -2
53  -6   2   0  -2   0  4   2  -4  -2  -6   0  -2   0   0  -2
54  -2  -2   4  -6   0  8  -2   0   6   6   4  -2   4  -4   2
55   2  -2  -8 -14   4  0   2   8   2  -2   0  -2   0  -4  -2
56   0   2   2  -6  -2 -4   0   2  -2   0  -4  -4  -4   2   2
57   8  10  -6   2   6  4   0  -6 -10   8  -4   4  -4   2   2
58  -4  -2   6  -2  -2 -8   4  -2  -2   4   0  -4   0  -2  -2
59  -4   2   2 -10   6 -4   0 -10  -2   0  -4   4   0   2   2
60  -2  -4  -2   4  -2  0  -2  -2   0   2   0   2  -8  -2   0
61   2   4  10  -4  10 -8  -6   6   4   2  -4   2   4  -2  -4
62   2 -12  -2   4   2 -4   2   6 -12  -2  -4   2   4  -2   0
63  -2  -8  -2  -4  -2  0  -6  -2   0   2   4   2   0   2   0
