     1   2   3   4   5   6   7   8  9  10  11  12  13  14  15
1    0   0   0   0   0   0   0   0  0   0   0   0   0   0   0
2    0   2  -6   4  -4   2   2   2  2   0   0  -2  -2   0   0
3    0  -2   6   0   0   2  -6   2  2  -4  -4  -6   2   0   8
4    0   2   2   0  -4  -6  -2   4  4  10   2   4   0  -6   6
5    0   2  10   0   4  -6  -2   0 -8   6  -2   0  -4   6  10
6    4   0  -4  -8   0   4  -4  -2 -6  -2   2   6  -2   2  -6
7   -4   4   0   4   4  -4   4   2 -2   6   2   6  -2  -2  -2
8   -4   0   4  -2  -2  -2   6  -4  4   0   0  -2   2   2  -2
9    4  -4   0   2  -6  -2 -10   0  0   0   0  -2  -6  -2  -6
10   0  -2 -10   2  -2  -4   0   2  6   0   4   0   0   2   2
11   0  -2  -2  10  -2  -4   0   6 -6   4   0   4  -4  -2  -2
12   0  -2  -2   2  -6   0   0   0 -4  -2   2  -2  -6   4   0
13   0   2   2  -2  -2   0  -8   0  4   2  -2   2  -2  -4  -8
14   0   0   0   2   2   6  -2  -2 -6  -6   6  -4  -8  -4   0
15   0   0   0   2   2  -2   6   6 -6   2   6  -4   0   4   0
16  -2   2   4   0  -2  -2   0  -2  4   4   6  -2  -4   8 -14
17   2  -2   4  -4  -2  -2   4  -2  0   0  -2  10   4  -8  -2
18  -2   0   2  -4   2  -4 -10   0 -2   0 -14   4  -6   4  -2
19   2   0   6   4   6   4  -6   0 -6   0  -2  -4   6  -4  -6
20   2   8   6   0 -10   4  -2   6  8  -2  -4  -2  -4   2   4
21  -2  -4  -2   4  -2   4  -6   2  0  -2   0  -2   0  -2  -4
22  -2   2  -4  -8   2   2   0   0 -2  -2   0   0  -6  -2   4
23   2   2  -8  -8 -10   2  -4 -12  6   2   0   4   2   2   4
24   2  -2  -4   2   0  -4   6   2  8   0  -6   0   2   2  -8
25  -2   6  -8   2  -4  -4  -6   6  0  12   2  -4   2  -2   0
26  -2   0   2  -2   0  -2   4   0  2  -4   2   2   0  -2   0
27   2   4   2   2   0   6   0   4  2   4  -2   2   4   2   0
28   2   0  -2  -2   8   2   0   2  0   6   0  -4   2   4  -2
29  -2   8   2  -2  -4   2   4   2 -4  -2   4 -12  -2  -4  -6
30   2   6  -4  -2   0   4   2   8 -2  -2   0   2   0   0   2
31  -2   2   4   2   0   4  -2   0  2   2   0   6   0   0  -2
32   0   0   0   0   0   0   0   0  0   0   0   0   0   0   0
33   0   0   0   0   0   0   0   0  0   0   0   0   0   0   0
34   0   2   2  -4   4  -6   2   2  2   0  -8  -2  -2 -16  -8
35   0  -2  -2   0   0   2   2   2  2  -4   4   2  -6  -8   8
36   0  -2   6   0   4  -2   2  -4  4  -2   6   4   0  -2   2
37   0  -2  -2   0  -4  -2   2   0  0   2  -6  -8   4   2  -2
38  -4  -4   0  -8   0  -8   0   6  2   2   6  -2  -2  -2  -2
39 -12   0   4  -4  -4   8   0   2 -2   2  -2  -2  -2  -6   2
40   0  -4   4  -2  -6  -6  -2   4 -8  -4   8   6  14  -2  -2
41   0   0   0   2  -2   2  -2   0  4  -4   0  -2   6  -6   2
42  -4   2  -2   2   2   0   0  -6  2   4   4   0  -4  -2   2
43   4  10   6   2   2   0  -8   6  6  -8   8   4   0   2  -2
44   4   6   2   2  -2   0  12   0  0  -2  -2   6 -10   4  -4
45  -4   2   6  -2  -6  -8   4   0  0  -6  -6  -6   2   4   4
46   4   0   4  -6  -2   6   2  -2 -2   2   2   4   4   4  -4
47  12  -8   4   2  -2  -2   2   6  6   2   2  -4  -4  -4   4
48   2   2   0   4   6   2   0  -2  8   4   2   2   4  -4   2
49   6  -2   0   0   6   2   4  -2  4   0  -6  -2  -4  -4  -2
50   2   0   6   0  -6   0  -2   0  2   0   6   0  -6   0  -2
51   6   0  -6   0   6   0  -6   0 -2   0   2   0  -2   0   2
52  -2   4  -2  -4   6   4   2  -2  4   2   4  -6   4   2   0
53  -6  -8   6   0  -2   4  -2   2  4  10   0   2   0   6   0
54   2  -2   4  -4   2  -6  -4  -8  2   2   8  -4  -6  -2   0
55   6  -2   0   4  -2   2   0   4  2  -2   0   0   2   2   0
56   2  -6   0  -2   4   4  -2   2  0   4  -2  -4  -2   2   0
57   6  -6  -4  -2  -8  -4   2  -2 -8   0  -2   0  -2  -2   0
58   6   4  -2   2   4 -10  -4   0  2  -8  -2  -2   4   6   0
59   2   0  -2 -18   4  -2   0  12  2   0   2  -2   0   2   0
60  -6   8  -2   2   4 -10  -4  -6  0  -2   0   0  -2   0   2
61  -2  -8   2   2   0  -2   0  -6  4  -2   4  -8   2   0  -2
62  -6   6  -4   2  -4   0  -2   0 -2  -2   0  -2   4  -4  -2
63  14  10   4  -2  -4   0   2  -8 -6  10   0  -6   4  -4   2
