,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2,-2,-4,-2,0,-4,6,2,0,0,6,4,-2,-6,4
3,-2,-2,-4,-2,0,-4,6,2,8,0,-2,4,6,-6,-4
4,2,-2,-4,-2,0,-4,-6,-2,4,8,2,0,-2,-6,12
5,-2,-2,0,-2,-4,-4,-2,2,-4,-4,2,4,-10,-2,-4
6,0,0,4,0,4,0,0,0,-4,4,4,0,0,-4,-8
7,-4,0,8,0,0,0,4,4,-4,-8,-4,4,0,0,0
8,4,-2,6,-6,-6,0,-4,-4,-4,2,-2,2,-2,0,0
9,0,6,-6,-2,-6,4,-4,0,-4,-2,6,2,-6,0,-4
10,-2,0,2,0,6,8,2,-2,0,-2,4,-2,0,-2,4
11,2,-8,-2,-4,-10,4,2,-6,8,2,4,-2,-4,-2,0
12,-2,0,6,0,2,0,2,2,0,6,-4,2,-4,6,0
13,6,0,6,4,-2,-4,-2,2,0,6,4,-2,8,-6,-4
14,0,-2,-2,2,2,0,0,4,4,6,-2,2,2,-4,4
15,0,-2,6,-2,-2,4,-4,-4,-4,-2,-2,-2,-2,0,0
16,2,2,0,-2,0,4,-6,0,6,2,-4,6,-4,-4,-18
17,2,-2,-4,2,-4,-4,10,-4,2,2,-4,-2,-4,0,-6
18,4,0,0,-4,4,0,4,-6,2,2,6,2,6,6,-10
19,4,-4,-4,0,0,-8,-12,-2,-2,-6,6,2,6,2,2
20,4,0,4,-8,-4,4,0,2,6,-2,2,6,2,-2,2
21,0,4,-4,-4,4,4,-4,10,2,2,2,-6,2,6,-2
22,6,2,0,2,-4,0,2,4,2,2,0,-2,0,0,2
23,2,6,-8,6,4,0,-2,-12,-2,-2,0,-6,0,0,-2
24,2,8,2,0,6,4,2,4,-2,4,6,0,-2,-4,2
25,-2,4,-6,0,-6,0,2,4,-6,8,6,0,2,0,-6
26,0,-6,2,-2,-2,4,4,-2,-2,0,0,-4,4,2,2
27,4,6,2,-10,2,-8,4,-2,-6,4,0,4,0,-2,2
28,-4,2,2,2,-6,0,-4,-2,-2,4,0,0,4,2,2
29,4,-2,-2,2,-6,-4,0,2,2,-4,0,-12,0,-6,-6
30,2,0,-2,4,-2,0,-2,0,6,-4,-2,0,-2,0,2
31,2,-4,2,-4,-2,4,2,4,-6,4,-2,-4,2,0,2
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,-2,0,2,0,0,6,-2,0,-4,6,4,10,10,0
35,2,-2,0,2,0,0,6,6,0,4,-10,-4,-6,2,0
36,2,-6,-8,2,4,4,2,2,0,0,2,0,6,-10,0
37,-2,2,4,2,0,-4,-2,-2,0,4,2,-4,6,-6,0
38,4,4,-4,8,-8,4,0,0,-8,0,-4,0,4,0,0
39,0,-4,-8,-8,4,-4,-4,4,-8,-4,-4,4,4,-4,0
40,4,-2,-2,-2,-2,-4,0,4,4,2,6,-2,-6,12,4
41,0,-2,-6,2,-2,-8,8,0,-4,-2,-2,6,-2,-4,0
42,2,0,-2,0,2,0,-2,2,-8,-6,-4,2,0,2,-4
43,-10,0,2,-4,2,4,6,-2,0,-10,4,2,-4,-6,0
44,6,-4,2,8,2,4,6,-2,-4,-2,12,-2,-8,-2,0
45,-2,-4,2,-4,-2,0,2,-2,-4,-2,4,-6,4,2,-4
46,-4,2,6,6,-6,-8,4,-4,0,2,6,6,2,4,0
47,-4,2,-2,2,-10,12,0,-4,0,2,-2,10,6,0,4
48,-2,-2,0,-2,4,0,2,0,2,6,4,6,0,0,-2
49,-2,2,4,2,0,0,-6,-4,-2,-2,-4,-2,0,-4,2
50,-4,-4,-4,0,0,0,4,-2,-2,-6,-2,-6,6,2,2
51,-4,0,0,4,-4,0,-4,-6,2,2,-2,2,-2,-2,-2
52,8,-8,8,4,4,0,0,-2,-2,2,-6,6,6,-2,-2
53,4,-4,0,-8,-4,0,-4,-2,2,-2,2,2,-2,-2,2
54,6,2,-8,2,-4,8,2,4,-6,2,0,6,0,0,2
55,2,-10,0,6,4,8,-2,4,6,-2,0,2,0,0,-2
56,-10,4,2,-4,-2,4,-2,4,2,0,6,-4,6,-4,-2
57,2,0,-6,-4,2,0,-2,-4,6,-4,-2,4,2,8,-2
58,0,6,-2,6,6,0,0,2,2,0,0,8,0,2,2
59,4,2,-2,-2,10,4,0,-14,-2,4,0,0,-4,-2,2
60,0,10,-2,-6,-2,0,8,-6,6,0,-8,-4,4,-2,2
61,8,-2,2,-6,-2,4,4,-2,-6,0,0,0,0,-2,2
62,2,0,-2,-8,2,4,2,0,-2,4,-2,-4,2,4,-2
63,-14,-12,-6,0,2,0,-2,-4,-6,12,-2,0,-2,4,-2
