,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,-2,-2,0,2,0,-2,0,-2,4,-4,-2,0,6
3,0,-2,0,2,-2,4,-6,4,-2,-4,6,0,-4,2,0,2
4,0,-2,-2,0,0,2,-2,-4,2,0,4,-2,6,0,0,14
5,0,-2,-2,0,0,2,6,4,-2,12,-8,2,-6,4,4,2
6,0,0,2,2,2,6,0,-4,4,4,2,2,2,-2,4,-8
7,0,-4,2,-10,-6,2,8,0,0,-4,-2,2,-2,-2,0,0
8,0,0,2,-2,0,0,2,-2,-2,2,0,0,2,-2,4,-4
9,0,4,-2,-2,4,0,-6,2,2,2,0,12,-6,-6,0,-4
10,0,2,-2,0,2,4,-4,-2,0,-2,-2,4,6,-4,0,-2
11,0,2,2,12,6,8,4,-2,4,-6,-2,4,-2,-4,4,2
12,0,-2,0,-2,0,2,0,-6,0,2,-4,-10,0,6,4,-6
13,0,2,-4,-2,4,2,0,6,0,-2,0,6,-4,6,4,-2
14,0,0,0,4,-2,2,2,2,-2,-6,2,2,4,4,4,0
15,0,0,4,0,-6,-2,-6,2,-2,2,6,6,8,0,4,0
16,0,0,0,0,0,0,0,-8,0,0,0,0,0,-8,0,-16
17,0,0,0,0,0,-8,0,0,0,8,0,-8,0,8,0,0
18,0,2,0,-2,-2,0,2,8,-2,0,-2,4,-4,6,0,-10
19,0,-2,0,2,-2,-4,10,4,-2,4,-10,8,-4,-6,0,2
20,0,-2,-6,-4,4,-2,-2,-4,-2,4,-4,-2,-2,0,4,2
21,0,-2,2,4,-12,6,-2,4,-6,-8,-8,2,2,4,0,-2
22,0,0,6,-10,-2,-6,0,-4,8,0,-6,2,-6,-2,0,4
23,0,-4,-2,2,6,-2,0,0,4,0,-2,2,6,-2,4,4
24,0,-4,2,2,0,4,2,2,6,-2,0,-4,2,2,-4,-8
25,0,0,6,10,-4,4,-6,-2,2,-2,0,0,-6,-2,0,0
26,0,-2,6,-4,-6,0,-4,2,0,2,-2,0,6,0,0,2
27,0,-2,2,0,-10,4,4,-6,-4,-2,-2,-8,-2,0,-4,-2
28,0,-6,-4,-2,4,2,0,6,4,2,4,2,8,2,0,-6
29,0,-2,-8,-2,0,2,-8,2,-4,-2,0,2,4,2,0,-2
30,0,-4,-4,4,2,2,2,-2,2,-6,-6,-2,-4,0,0,0
31,0,-4,0,0,-10,-2,2,-2,-6,2,6,2,0,-4,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,-2,4,-2,2,0,-6,4,-2,-4,-6,-4,0,-2,16,2
35,0,2,-4,2,2,-4,-6,8,-2,0,-6,-8,0,-6,-8,-2
36,0,2,2,-8,0,6,2,4,-2,0,4,2,2,0,0,2
37,0,2,2,-8,0,6,-6,-4,2,4,0,-2,-2,-4,-4,-2
38,0,8,2,-6,-2,-6,-4,0,0,-8,6,-2,-6,-2,4,0
39,0,-4,-6,-2,-10,-2,-4,4,4,0,2,6,-2,-2,0,0
40,0,0,2,-2,0,0,-6,6,-6,-2,-4,-4,-2,-6,-8,0
41,0,4,-2,-2,4,0,2,-6,-2,-2,-4,8,6,6,-12,0
42,0,-2,2,0,-2,-4,4,2,4,-2,-2,0,6,-8,4,-2
43,0,-10,-2,-4,2,8,4,2,-8,2,6,0,-2,0,0,2
44,0,-6,4,-2,0,-2,-4,-14,0,-2,0,6,0,2,0,2
45,0,-2,0,-2,4,-2,-4,-2,-8,2,-4,-2,4,-6,8,-2
46,0,0,0,4,2,-10,-2,-2,-10,2,2,2,0,0,0,-4
47,0,8,-4,0,-2,10,-2,-2,-2,10,6,-2,-4,-4,0,4
48,0,-4,0,4,0,4,0,4,0,4,0,-4,0,-12,0,4
49,0,4,0,-4,0,4,0,4,0,4,0,-4,0,-4,0,-4
50,0,-6,-4,-6,2,4,2,0,-2,0,2,0,0,2,8,-2
51,0,6,4,6,2,0,2,4,-2,4,2,-4,0,6,0,2
52,0,-2,-10,0,-4,-2,2,0,2,0,-4,-2,10,-4,-4,2
53,0,6,-2,0,-4,-2,2,0,6,4,0,2,6,0,0,-2
54,0,4,6,2,2,-6,4,4,-4,0,6,2,2,-6,0,0
55,0,0,6,6,-6,-2,-4,0,0,8,-6,2,6,2,4,0
56,0,8,10,-2,0,8,2,-2,-6,6,-4,4,6,2,0,0
57,0,4,-2,-2,-4,0,-6,2,6,-2,-4,0,-2,6,4,0
58,0,-10,10,0,6,-4,4,2,-4,-2,6,0,-2,0,-4,-2
59,0,6,-2,-4,2,0,4,2,-8,-6,-2,0,6,0,0,2
60,0,2,0,2,-4,-6,4,2,4,2,8,-2,0,2,4,-2
61,0,-2,12,-6,8,2,-4,6,4,-2,-4,-2,4,2,-4,2
62,0,-8,4,0,-2,2,-2,6,10,6,2,2,0,0,-4,0
63,0,-8,0,4,2,-2,-10,-2,-6,6,-2,6,-4,4,-4,0
