,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0xa,0xb,0xc,0xd,0xe,0xf
0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,6,0,2,6,2,0,4,2,4,6,16,14,2
2,0,0,0,2,0,10,6,10,0,2,4,8,6,6,8,2
3,0,8,0,8,0,6,4,6,4,4,4,12,2,4,2,0
4,0,0,0,8,0,0,8,0,0,6,8,10,2,4,10,8
5,10,2,4,4,4,8,8,4,2,2,0,4,0,8,0,4
6,0,8,4,4,8,4,2,2,12,0,2,6,6,2,2,2
7,6,6,4,0,2,10,2,2,2,2,6,6,8,0,6,2
8,0,0,0,6,0,2,16,4,0,2,6,2,4,12,6,4
9,10,4,2,6,0,2,6,2,4,0,8,6,4,4,2,4
10,0,14,4,4,0,2,2,2,10,4,4,4,6,4,2,2
11,4,6,2,0,2,2,12,8,2,2,2,6,8,2,0,6
12,0,0,0,12,0,10,4,6,0,8,4,4,2,12,2,0
13,12,0,2,10,6,4,4,2,4,2,6,0,2,6,0,4
14,0,6,4,0,4,4,10,8,6,2,4,6,2,0,6,2
15,2,2,2,2,6,2,6,2,10,4,8,2,6,4,4,2
16,0,0,0,8,0,8,0,12,0,4,2,6,8,4,6,6
17,6,2,6,4,6,2,6,4,6,6,4,2,4,0,6,0
18,0,8,4,2,0,4,2,0,4,10,6,2,8,6,4,4
19,6,6,12,0,12,2,0,6,6,2,0,4,0,2,4,2
20,0,4,6,2,8,6,0,2,6,10,4,0,2,4,6,4
21,2,2,6,6,4,4,2,6,2,6,8,4,4,0,4,4
22,0,4,14,6,8,4,2,6,2,0,2,0,4,2,0,10
23,2,6,8,0,0,2,0,2,2,6,0,8,8,2,12,6
24,0,4,6,6,8,4,2,2,6,4,6,4,2,4,2,4
25,2,6,0,2,4,4,4,6,4,8,6,4,2,2,6,4
26,0,6,6,0,8,2,4,6,4,2,4,6,2,0,4,10
27,0,4,10,2,4,4,2,6,6,6,2,2,6,6,2,2
28,0,0,8,2,12,2,6,2,8,6,6,2,4,0,4,2
29,2,4,0,6,8,6,0,2,6,8,6,0,2,4,0,10
30,0,10,8,2,8,2,0,2,6,4,2,4,6,4,2,4
31,0,6,6,8,6,4,2,4,4,2,2,0,2,4,2,12
32,0,0,0,0,0,6,6,4,0,4,8,8,4,6,10,8
33,2,8,6,8,4,4,6,6,8,4,0,4,0,2,2,0
34,16,2,4,6,2,4,2,0,6,4,8,2,0,2,2,4
35,0,4,0,4,4,6,10,4,2,2,6,2,4,6,6,4
36,10,8,0,6,12,6,10,4,8,0,0,0,0,0,0,0
37,0,2,4,2,0,4,4,0,4,0,10,10,4,10,6,4
38,2,2,0,12,2,2,6,2,4,4,8,0,6,6,8,0
39,8,4,0,8,2,4,2,4,0,6,2,4,4,8,2,6
40,6,8,4,6,0,4,2,2,4,8,2,6,4,2,2,4
41,2,4,4,0,8,8,6,8,6,4,0,4,4,4,2,0
42,6,0,0,6,6,4,6,8,2,4,0,2,2,4,6,8
43,12,0,4,0,0,4,2,2,2,6,10,6,10,2,4,0
44,4,2,6,0,0,6,8,6,4,2,2,8,4,6,4,2
45,6,2,2,6,6,4,4,2,6,2,4,8,4,2,4,2
46,4,6,2,4,2,4,4,2,4,2,4,6,4,10,4,2
47,10,0,4,8,0,6,6,2,0,4,4,2,6,2,2,8
48,0,12,8,2,0,6,0,0,6,6,0,2,8,2,6,6
49,2,6,10,4,2,2,2,4,6,0,2,6,0,2,4,12
50,4,2,2,8,10,8,8,6,0,2,2,4,4,2,2,0
51,4,2,2,2,6,0,4,0,10,6,6,4,0,4,8,6
52,0,4,4,2,6,4,0,4,6,2,6,4,2,8,0,12
53,6,12,4,2,4,2,2,4,8,2,2,0,6,4,4,2
54,0,2,2,4,4,4,4,0,2,10,12,4,0,10,4,2
55,10,2,2,6,14,2,2,6,2,0,4,6,2,0,4,2
56,0,4,14,0,8,2,0,4,4,4,2,0,8,2,4,8
57,2,4,8,0,6,2,0,6,2,6,4,2,8,6,2,6
58,8,4,0,4,6,2,0,4,6,8,6,0,6,0,4,6
59,0,4,6,6,2,2,2,14,0,12,0,4,2,2,8,0
60,0,6,16,0,2,2,2,8,4,2,0,12,6,2,2,0
61,0,6,2,2,2,6,8,2,4,2,6,2,6,2,4,10
62,4,2,2,4,4,0,6,10,4,2,4,6,6,2,6,2
63,0,4,6,6,4,8,4,0,4,8,4,0,4,8,2,2
